record type,booking id,service type,block number,route,logon block id,start time,end time,start place,end place,garage,block name,preferred bus series 1
10,1,0,1,228,1,14220,90480,SN16,SN16,SN16,1,Bus
10,1,0,2,234,2,14520,96660,SN16,SN16,SN16,2,Bus
10,1,0,3,234,3,17940,92640,SN16,SN16,SN16,3,Bus
10,1,0,4,234,4,19680,95160,SN16,SN16,SN16,4,Bus
10,1,0,5,230,5,19740,93480,SN16,SN16,SN16,5,Bus
10,1,0,6,234,6,21360,96060,SN16,SN16,SN16,6,Bus
10,1,0,7,234,7,23160,80040,SN16,SN16,SN16,7,Bus
10,1,0,8,234,8,35220,85440,SN16,SN16,SN16,8,Bus
10,1,0,9,8,9,15300,22920,SN16,SN16,SN16,9,Bus
10,1,0,10,5,10,14700,70740,SN16,SN16,SN16,10,Bus
10,1,0,11,8,11,17520,68940,SN16,SN16,SN16,11,Bus
10,1,0,12,8,12,21360,70680,SN16,SN16,SN16,12,Bus
10,1,0,13,8,13,23400,94140,SN16,SN16,SN16,13,Bus
10,1,0,14,8,14,36540,80580,SN16,SN16,SN16,14,Bus
10,1,0,15,9,15,78120,92760,SN16,SN16,SN16,15,Bus
10,1,0,16,12,16,1680,35460,SN19,SN19,SN19,16,Bus
10,1,0,17,12,17,5280,41520,SN19,SN19,SN19,17,Bus
10,1,0,18,14,18,13080,38520,SN19,SN19,SN19,18,Bus
10,1,0,19,14,19,16440,32160,SN19,SN19,SN19,19,Bus
10,1,0,20,14,20,17880,70860,SN19,SN19,SN19,20,Bus
10,1,0,21,14,21,20940,72540,SN19,SN19,SN19,21,Bus
10,1,0,22,14,22,27060,68220,SN19,SN19,SN19,22,Bus
10,1,0,23,14,23,34320,85920,SN19,SN19,SN19,23,Bus
10,1,0,24,11,24,70260,88680,SN19,SN19,SN19,24,Bus
10,1,0,25,11,25,73860,91320,SN19,SN19,SN19,25,Bus
10,1,0,26,12,26,82740,87780,SN19,SN19,SN19,26,Bus
10,1,0,27,11,27,37260,72360,SN19,SN19,SN19,27,Bus
10,1,0,28,11,28,43200,73860,SN19,SN19,SN19,28,Bus
10,1,0,29,11,29,40200,85320,SN19,SN19,SN19,29,Bus
10,1,0,30,10,30,31860,84420,SN19,SN19,SN19,30,Bus
10,1,0,31,10,31,71160,80880,SN19,SN19,SN19,31,Bus
10,1,0,32,12,32,86340,91260,SN19,SN19,SN19,32,Bus
